dataset_group,source_id,clip_id,split,spk,titulo,source_url,source_video_id,start_time,end_time,mp4_visual_roi_path,npz_path,clip_with_audio_path,existing_text,large_text,turbo_text,clean_gpt_text,selected_training_text,text_source,clean_status,clean_confidence,patch_count,alignment_confidence,asr_status,gpt_status,usable_for_training,usable_for_eval,needs_review,failure_reason,notes
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0001,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,https://www.youtube.com/watch?v=JsJ_cQUy1pM,JsJ_cQUy1pM,5.96,9.61,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0001.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0001.npz,,ok estamos en vivo acabo de subir un video nuevo a mi canal de youtube sobre el curupi,,,,ok estamos en vivo acabo de subir un video nuevo a mi canal de youtube sobre el curupi,existing_text,baseline_existing_only,low,0,high,pending_reconstruction_or_asr,blocked_no_asr_context,true,true,true,not_processed_before_spot_preemption,
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0002,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,https://www.youtube.com/watch?v=JsJ_cQUy1pM,JsJ_cQUy1pM,9.62,13.12,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0002.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0002.npz,,es un mito paraguayo lo deberian ver,,,,es un mito paraguayo lo deberian ver,existing_text,baseline_existing_only,low,0,high,pending_reconstruction_or_asr,blocked_no_asr_context,true,true,true,not_processed_before_spot_preemption,
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0003,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,https://www.youtube.com/watch?v=JsJ_cQUy1pM,JsJ_cQUy1pM,13.13,20.51,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0003.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0003.npz,,pero bueno creo que estamos con 7 dias seguidos haciendo lives,,,,pero bueno creo que estamos con 7 dias seguidos haciendo lives,existing_text,baseline_existing_only,low,0,high,pending_reconstruction_or_asr,blocked_no_asr_context,true,true,true,not_processed_before_spot_preemption,
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0004,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,https://www.youtube.com/watch?v=JsJ_cQUy1pM,JsJ_cQUy1pM,20.52,26.87,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0004.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0004.npz,,que buena onda espero que la esten disfrutando como yo,,,,que buena onda espero que la esten disfrutando como yo,existing_text,baseline_existing_only,low,0,medium,pending_reconstruction_or_asr,blocked_no_asr_context,true,true,true,not_processed_before_spot_preemption,
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0005,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,https://www.youtube.com/watch?v=JsJ_cQUy1pM,JsJ_cQUy1pM,26.88,33.2,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0005.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0005.npz,,que haces andy todo bien como va la gente mientras todos estan entrando,,,,que haces andy todo bien como va la gente mientras todos estan entrando,existing_text,baseline_existing_only,low,0,medium,pending_reconstruction_or_asr,blocked_no_asr_context,true,true,true,not_processed_before_spot_preemption,
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0006,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,https://www.youtube.com/watch?v=JsJ_cQUy1pM,JsJ_cQUy1pM,33.21,40.07,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0006.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0006.npz,,queria contarles una anecdota muy graciosa que haces moni que haces rama valen ana,,,,queria contarles una anecdota muy graciosa que haces moni que haces rama valen ana,existing_text,baseline_existing_only,low,0,low,pending_reconstruction_or_asr,blocked_no_asr_context,true,true,true,not_processed_before_spot_preemption,
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0007,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,https://www.youtube.com/watch?v=JsJ_cQUy1pM,JsJ_cQUy1pM,40.08,49.43,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0007.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0007.npz,,que buena onda que todos entran asi tan rapido enzo maximo lorito dominic marcelo tuti,,,,que buena onda que todos entran asi tan rapido enzo maximo lorito dominic marcelo tuti,existing_text,baseline_existing_only,low,0,medium,pending_reconstruction_or_asr,blocked_no_asr_context,true,true,true,not_processed_before_spot_preemption,
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0008,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,https://www.youtube.com/watch?v=JsJ_cQUy1pM,JsJ_cQUy1pM,49.44,54.35,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0008.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0008.npz,,bueno vamos a arrancar con esto les queria contar una anecdota muy graciosa en mi vida,,,,bueno vamos a arrancar con esto les queria contar una anecdota muy graciosa en mi vida,existing_text,baseline_existing_only,low,0,high,pending_reconstruction_or_asr,blocked_no_asr_context,true,true,true,not_processed_before_spot_preemption,
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0009,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,https://www.youtube.com/watch?v=JsJ_cQUy1pM,JsJ_cQUy1pM,54.36,65.68,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0009.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0009.npz,,donde ser argentino o por lo menos mentir y decirles que soy argentino me salvo la vida,,,,donde ser argentino o por lo menos mentir y decirles que soy argentino me salvo la vida,existing_text,baseline_existing_only,low,0,medium,pending_reconstruction_or_asr,blocked_no_asr_context,true,true,true,not_processed_before_spot_preemption,
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0010,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,https://www.youtube.com/watch?v=JsJ_cQUy1pM,JsJ_cQUy1pM,69.61,71.79,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0010.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0010.npz,,basicamente una vez hace ponele no se 4 o 5 años,,,,basicamente una vez hace ponele no se 4 o 5 años,existing_text,baseline_existing_only,low,0,low,pending_reconstruction_or_asr,blocked_no_asr_context,true,true,true,not_processed_before_spot_preemption,
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0011,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,https://www.youtube.com/watch?v=JsJ_cQUy1pM,JsJ_cQUy1pM,71.8,76.83,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0011.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0011.npz,,fui a viaje a montreal quebec canada,,,,fui a viaje a montreal quebec canada,existing_text,baseline_existing_only,low,0,high,pending_reconstruction_or_asr,blocked_no_asr_context,true,true,true,not_processed_before_spot_preemption,
argentina/existing,f15__LE_DIJE_QUE_SOY_ARGENTINO_-_Story_Time_-_CAP_91,f15::LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91::clip_0012,test,f15,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,https://www.youtube.com/watch?v=JsJ_cQUy1pM,JsJ_cQUy1pM,76.84,82.71,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0012.mp4,gs://labios-argentos-vsr-dataset/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0012.npz,,donde se habla frances no una ciudad super super linda,,,,donde se habla frances no una ciudad super super linda,existing_text,baseline_existing_only,low,0,medium,pending_reconstruction_or_asr,blocked_no_asr_context,true,true,true,not_processed_before_spot_preemption,
