dataset_group,video_id,clip_id,clip_name,model_role,model_name,device,compute_type,clip_video_path,clip_video_gcs_path,transcript_path,transcript_gcs_path,text,language,duration,status,notes
argentina/new_discovery,ITovsJg-q5c,new_discovery::ITovsJg-q5c::clip_0000,clip_0000,large,large-v3,cpu,int8,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\new_discovery_ingest\ITovsJg-q5c\clips_with_audio\clip_0000.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/clips_with_audio/ITovsJg-q5c/clip_0000.mp4,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\new_discovery_asr\transcripts\large\ITovsJg-q5c\clip_0000.txt,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/transcripts/large/ITovsJg-q5c/clip_0000.txt,Amar es otorgarle a una persona un poder en,es,6.002,completed_asr,
argentina/new_discovery,ITovsJg-q5c,new_discovery::ITovsJg-q5c::clip_0000,clip_0000,turbo,turbo,cpu,int8,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\new_discovery_ingest\ITovsJg-q5c\clips_with_audio\clip_0000.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/clips_with_audio/ITovsJg-q5c/clip_0000.mp4,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\new_discovery_asr\transcripts\turbo\ITovsJg-q5c\clip_0000.txt,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/transcripts/turbo/ITovsJg-q5c/clip_0000.txt,Amar es otorgarle a una persona un poder en,es,6.002,completed_asr,
argentina/new_discovery,ITovsJg-q5c,new_discovery::ITovsJg-q5c::clip_0001,clip_0001,large,large-v3,cpu,int8,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\new_discovery_ingest\ITovsJg-q5c\clips_with_audio\clip_0001.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/clips_with_audio/ITovsJg-q5c/clip_0001.mp4,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\new_discovery_asr\transcripts\large\ITovsJg-q5c\clip_0001.txt,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/transcripts/large/ITovsJg-q5c/clip_0001.txt,Enorme. Sobre vos. Yo pienso que la persona que de verdad nos ama es la que renuncia a usar el poder.,es,6.016,completed_asr,
argentina/new_discovery,ITovsJg-q5c,new_discovery::ITovsJg-q5c::clip_0002,clip_0002,large,large-v3,cpu,int8,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\new_discovery_ingest\ITovsJg-q5c\clips_with_audio\clip_0002.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/clips_with_audio/ITovsJg-q5c/clip_0002.mp4,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\new_discovery_asr\transcripts\large\ITovsJg-q5c\clip_0002.txt,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/transcripts/large/ITovsJg-q5c/clip_0002.txt,que le dimos cuando naciste a tus padres le dijeron que sólo tenía siete días de vida sí,es,6.016,completed_asr,
argentina/new_discovery,ITovsJg-q5c,new_discovery::ITovsJg-q5c::clip_0003,clip_0003,large,large-v3,cpu,int8,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\new_discovery_ingest\ITovsJg-q5c\clips_with_audio\clip_0003.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/clips_with_audio/ITovsJg-q5c/clip_0003.mp4,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\new_discovery_asr\transcripts\large\ITovsJg-q5c\clip_0003.txt,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/transcripts/large/ITovsJg-q5c/clip_0003.txt,"Resultó que no fue así. No, parece ser que no.",es,6.016,completed_asr,
argentina/new_discovery,ITovsJg-q5c,new_discovery::ITovsJg-q5c::clip_0004,clip_0004,large,large-v3,cpu,int8,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\new_discovery_ingest\ITovsJg-q5c\clips_with_audio\clip_0004.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/clips_with_audio/ITovsJg-q5c/clip_0004.mp4,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\new_discovery_asr\transcripts\large\ITovsJg-q5c\clip_0004.txt,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/transcripts/large/ITovsJg-q5c/clip_0004.txt,"escritor y pensador destacado de la cultura. Con más de 2 millones de ejemplares, lo conozco como el mejor escritor de la historia.",es,6.016,completed_asr,
argentina/new_discovery,ITovsJg-q5c,new_discovery::ITovsJg-q5c::clip_0005,clip_0005,large,large-v3,cpu,int8,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\new_discovery_ingest\ITovsJg-q5c\clips_with_audio\clip_0005.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/clips_with_audio/ITovsJg-q5c/clip_0005.mp4,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\new_discovery_asr\transcripts\large\ITovsJg-q5c\clip_0005.txt,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/transcripts/large/ITovsJg-q5c/clip_0005.txt,"confirman como el escritor más vendido de Sudamérica. En una vida donde es tan difícil definir, por ejemplo,",es,6.016,completed_asr,
argentina/new_discovery,ITovsJg-q5c,new_discovery::ITovsJg-q5c::clip_0006,clip_0006,large,large-v3,cpu,int8,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\new_discovery_ingest\ITovsJg-q5c\clips_with_audio\clip_0006.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/clips_with_audio/ITovsJg-q5c/clip_0006.mp4,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\new_discovery_asr\transcripts\large\ITovsJg-q5c\clip_0006.txt,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/transcripts/large/ITovsJg-q5c/clip_0006.txt,la felicidad. Yo te diría que una de las cosas que pueden hacer que alguien sea feliz...,es,6.016,completed_asr,
argentina/new_discovery,ITovsJg-q5c,new_discovery::ITovsJg-q5c::clip_0007,clip_0007,large,large-v3,cpu,int8,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\new_discovery_ingest\ITovsJg-q5c\clips_with_audio\clip_0007.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/clips_with_audio/ITovsJg-q5c/clip_0007.mp4,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\new_discovery_asr\transcripts\large\ITovsJg-q5c\clip_0007.txt,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/transcripts/large/ITovsJg-q5c/clip_0007.txt,es que tenga la capacidad de mirar hacia adentro sin sentir vergüenza de lo que encuentra.,es,6.016,completed_asr,
argentina/new_discovery,ITovsJg-q5c,new_discovery::ITovsJg-q5c::clip_0008,clip_0008,large,large-v3,cpu,int8,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\new_discovery_ingest\ITovsJg-q5c\clips_with_audio\clip_0008.mp4,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/clips_with_audio/ITovsJg-q5c/clip_0008.mp4,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\new_discovery_asr\transcripts\large\ITovsJg-q5c\clip_0008.txt,gs://labios-argentos-vsr-clean-v1/argentina/new_discovery/transcripts/large/ITovsJg-q5c/clip_0008.txt,Hay que tener cuidado con creer que las decisiones correctas son las que...,es,6.016,completed_asr,
